station_id,station_code,station_name,sample_date,DOC,Color,NH4-N,NO3-N,TRP,POC,SPM,SiO2,Si,TOC,TOTN_EF_usikker,TOTN,TDP,PP,TOTP,TSM,UV_Abs_254nm,UV_Abs_410nm
40352,DRA1,Drammenselva,1990-01-11 00:00:00,,,,235.0,0.5,,,,,,,350.0,,,6.0,0.8,,
40352,DRA1,Drammenselva,1990-02-12 00:00:00,,,,295.0,2.0,,,,,,,419.0,,,7.0,2.0,,
40352,DRA1,Drammenselva,1990-03-13 00:00:00,,,,265.0,1.5,,,,,,,405.0,,,6.0,1.4,,
40352,DRA1,Drammenselva,1990-04-18 00:00:00,,,,270.0,1.5,,,,,,,399.0,,,5.0,1.3,,
40352,DRA1,Drammenselva,1990-05-21 00:00:00,,,,178.0,0.5,,,,,,,317.0,,,6.0,1.7,,
40352,DRA1,Drammenselva,1990-06-12 00:00:00,,,,117.0,1.0,,,,,,,299.0,,,7.0,1.5,,
40352,DRA1,Drammenselva,1990-07-13 00:00:00,,,,157.0,5.0,,,,,,,296.0,,,6.0,1.4,,
40352,DRA1,Drammenselva,1990-08-13 00:00:00,,,,118.0,0.5,,,,,,,270.0,,,5.0,0.7,,
40352,DRA1,Drammenselva,1990-09-10 00:00:00,,,,118.0,3.0,,,,,,,245.0,,,4.0,1.0,,
40352,DRA1,Drammenselva,1990-10-15 00:00:00,,,,193.0,3.0,,,,,,,318.0,,,5.0,1.0,,
40352,DRA1,Drammenselva,1990-11-13 00:00:00,,,,250.0,1.0,,,,,,,371.0,,,6.0,0.9,,
40352,DRA1,Drammenselva,1990-12-12 00:00:00,,,,230.0,1.0,,,,,,,347.0,,,8.0,0.9,,
40352,DRA1,Drammenselva,1991-01-21 00:00:00,,,,285.0,2.0,,,,,,,395.0,,,4.0,1.01,,
40352,DRA1,Drammenselva,1991-02-10 00:00:00,,,,250.0,2.0,,,,,,,371.0,,,5.0,1.17,,
40352,DRA1,Drammenselva,1991-03-08 00:00:00,,,,265.0,0.5,,,,,,,381.0,,,4.0,1.12,,
40352,DRA1,Drammenselva,1991-04-19 00:00:00,,,,315.0,2.0,,,,,,,443.0,,,7.0,2.49,,
40352,DRA1,Drammenselva,1991-05-13 00:00:00,,,,230.0,1.0,,,,,,,374.0,,,5.0,1.37,,
40352,DRA1,Drammenselva,1991-06-05 00:00:00,,,,166.0,2.0,,,,,,,318.0,,,6.0,1.4,,
40352,DRA1,Drammenselva,1991-07-12 00:00:00,,,,148.0,2.0,,,,,,,326.0,,,7.0,1.32,,
40352,DRA1,Drammenselva,1991-08-12 00:00:00,,,,240.0,1.0,,,,,,,312.0,,,8.0,3.18,,
40352,DRA1,Drammenselva,1991-09-09 00:00:00,,,,149.0,1.0,,,,,,,356.0,,,6.0,1.33,,
40352,DRA1,Drammenselva,1991-10-17 00:00:00,,,,150.0,2.0,,,,,2.29,,296.0,,,4.0,1.93,,
40352,DRA1,Drammenselva,1991-11-12 00:00:00,,,,290.0,2.0,,,,,,,428.0,,,6.0,1.85,,
40352,DRA1,Drammenselva,1991-12-09 00:00:00,,,,270.0,3.0,,,,,,,416.0,,,5.0,1.98,,
40352,DRA1,Drammenselva,1992-01-22 00:00:00,,,,240.0,1.0,,,,,,,351.0,,,5.0,1.04,,
40352,DRA1,Drammenselva,1992-02-10 00:00:00,,,22.0,275.0,2.0,,,,,,,395.0,,,7.0,1.39,,
40352,DRA1,Drammenselva,1992-03-10 00:00:00,,,30.0,305.0,3.0,,,,,,,435.0,,,7.0,2.89,,
40352,DRA1,Drammenselva,1992-04-06 00:00:00,,,18.0,370.0,2.0,,,,,,,464.0,,,7.0,1.98,,
40352,DRA1,Drammenselva,1992-05-07 00:00:00,,,26.0,325.0,2.0,,,,,,,477.0,,,7.0,2.71,,
40352,DRA1,Drammenselva,1992-06-11 00:00:00,2.9,,18.0,135.0,1.0,,,,,2.9,,308.0,,,5.0,2.51,,
40352,DRA1,Drammenselva,1992-07-06 00:00:00,,,35.0,150.0,1.0,,,,,,,330.0,,,9.0,1.39,,
40352,DRA1,Drammenselva,1992-08-10 00:00:00,,,23.0,100.0,2.0,,,,,,,282.0,,,5.0,2.11,,
40352,DRA1,Drammenselva,1992-09-03 00:00:00,,,21.0,139.0,1.0,,,,,,,293.0,,,6.0,1.84,,
40352,DRA1,Drammenselva,1992-10-07 00:00:00,,,13.0,190.0,0.5,,,,,,,335.0,,,4.0,0.68,,
40352,DRA1,Drammenselva,1992-11-13 00:00:00,,,18.0,875.0,3.0,,,,,,,1005.0,,,7.0,2.51,,
40352,DRA1,Drammenselva,1992-12-01 00:00:00,,,12.0,282.0,1.0,,,,,,,355.0,,,3.0,0.89,,
40352,DRA1,Drammenselva,1993-01-13 00:00:00,,,13.0,295.0,1.0,,,,,,,415.0,,,4.0,1.23,,
40352,DRA1,Drammenselva,1993-02-15 00:00:00,,,13.0,280.0,1.0,,,,,,,400.0,,,4.0,1.01,,
40352,DRA1,Drammenselva,1993-03-15 00:00:00,,,13.0,270.0,4.0,,,,,2.3,,405.0,,,10.0,5.18,,
40352,DRA1,Drammenselva,1993-04-13 00:00:00,,,13.0,270.0,2.0,,,,,2.5,,415.0,,,4.0,1.01,,
40352,DRA1,Drammenselva,1993-05-19 00:00:00,,,8.0,245.0,1.0,,,,,2.8,,355.0,,,5.0,1.74,,
40352,DRA1,Drammenselva,1993-06-08 00:00:00,,,16.0,215.0,1.0,,,,,2.6,,380.0,,,7.0,1.71,,
40352,DRA1,Drammenselva,1993-07-05 00:00:00,,,13.0,132.0,1.0,,,,,2.8,,315.0,,,6.0,1.22,,
40352,DRA1,Drammenselva,1993-08-10 00:00:00,,,10.0,150.0,0.5,,,,,2.5,,325.0,,,5.0,1.68,,
40352,DRA1,Drammenselva,1993-09-12 00:00:00,,,16.0,185.0,1.0,,,,,2.8,,375.0,,,5.0,1.46,,
40352,DRA1,Drammenselva,1993-10-14 00:00:00,,,17.0,295.0,2.0,,,,,3.6,,490.0,,,5.0,2.06,,
40352,DRA1,Drammenselva,1993-11-10 00:00:00,,,21.0,255.0,1.0,,,,,3.6,,410.0,,,4.0,0.81,,
40352,DRA1,Drammenselva,1993-12-07 00:00:00,,,21.0,335.0,1.0,,,,,2.8,,500.0,,,4.0,0.74,,
40352,DRA1,Drammenselva,1994-01-17 00:00:00,,,12.0,265.0,1.0,,,,,,,385.0,,,3.0,0.92,,
40352,DRA1,Drammenselva,1994-02-17 00:00:00,,,16.0,270.0,2.0,,,,,,,415.0,,,3.0,0.82,,
40352,DRA1,Drammenselva,1994-03-14 00:00:00,,,18.0,350.0,2.0,,,,,2.4,,460.0,,,4.0,1.39,,
40352,DRA1,Drammenselva,1994-04-11 00:00:00,,,14.0,545.0,5.0,,,,,3.7,,910.0,,,12.0,5.44,,
40352,DRA1,Drammenselva,1994-05-10 00:00:00,,,8.0,265.0,2.0,,,,,2.6,,405.0,,,5.0,3.35,,
40352,DRA1,Drammenselva,1994-06-13 00:00:00,,,12.0,250.0,2.0,,,,,3.1,,410.0,,,6.0,1.34,,
40352,DRA1,Drammenselva,1994-07-18 00:00:00,,,11.0,160.0,2.0,,,,,3.1,,395.0,,,7.0,3.07,,
40352,DRA1,Drammenselva,1994-08-18 00:00:00,,,21.0,165.0,2.0,,,,,2.5,,375.0,,,6.0,3.95,,
40352,DRA1,Drammenselva,1994-09-12 00:00:00,,,17.0,870.0,0.5,,,,,4.5,,1080.0,,,10.0,4.15,,
40352,DRA1,Drammenselva,1994-10-17 00:00:00,,,27.0,225.0,1.0,,,,,2.9,,395.0,,,4.0,4.38,,
40352,DRA1,Drammenselva,1994-11-07 00:00:00,,,23.0,335.0,0.5,,,,,3.1,,520.0,,,4.0,1.27,,
40352,DRA1,Drammenselva,1994-12-07 00:00:00,,,16.0,275.0,0.5,,,,,3.1,,405.0,,,3.0,0.82,,
40352,DRA1,Drammenselva,1995-01-16 00:00:00,,,17.0,290.0,0.5,,,,,,,430.0,,,4.0,1.43,,
40352,DRA1,Drammenselva,1995-02-13 00:00:00,,,18.0,310.0,0.5,,,2.4,,,,440.0,,,4.0,0.68,,
40352,DRA1,Drammenselva,1995-03-16 00:00:00,,,18.0,310.0,1.0,,,2.3,,2.8,,440.0,,,4.0,0.68,,
40352,DRA1,Drammenselva,1995-04-13 00:00:00,,,3.0,530.0,2.0,,,2.8,,3.5,,685.0,,,7.0,5.42,,
40352,DRA1,Drammenselva,1995-05-08 00:00:00,,,3.0,285.0,2.0,,,2.7,,4.5,,400.0,,,7.0,4.27,,
40352,DRA1,Drammenselva,1995-06-02 00:00:00,,,,435.0,9.0,,,,,4.0,,685.0,,,21.0,18.2,,
40352,DRA1,Drammenselva,1995-06-04 00:00:00,,,,305.0,7.0,,,,,4.0,,495.0,,,15.0,9.6,,
40352,DRA1,Drammenselva,1995-06-06 00:00:00,,,8.0,280.0,7.0,,,2.8,,4.5,,455.0,,,13.0,5.69,,
40352,DRA1,Drammenselva,1995-06-08 00:00:00,,,,395.0,6.0,,,2.7,,4.5,,515.0,,,16.0,10.1,,
40352,DRA1,Drammenselva,1995-06-10 00:00:00,,,,295.0,2.0,,,2.7,,4.0,,540.0,,,11.0,5.9,,
40352,DRA1,Drammenselva,1995-06-12 00:00:00,,,,280.0,2.0,,,2.6,,3.9,,435.0,,,10.0,4.8,,
40352,DRA1,Drammenselva,1995-06-14 00:00:00,,,,535.0,4.0,,,2.9,,4.3,,725.0,,,22.0,9.4,,
40352,DRA1,Drammenselva,1995-06-16 00:00:00,,,,435.0,2.0,,,3.0,,4.1,,575.0,,,10.0,5.6,,
40352,DRA1,Drammenselva,1995-06-18 00:00:00,,,,310.0,3.0,,,2.7,,3.9,,485.0,,,11.0,3.3,,
40352,DRA1,Drammenselva,1995-06-20 00:00:00,,,,305.0,2.0,,,2.8,,4.0,,480.0,,,8.0,2.6,,
40352,DRA1,Drammenselva,1995-06-22 00:00:00,,,,285.0,2.0,,,2.8,,3.8,,465.0,,,7.0,3.3,,
40352,DRA1,Drammenselva,1995-06-24 00:00:00,,,,290.0,1.0,,,1.1,,3.8,,470.0,,,7.0,2.0,,
40352,DRA1,Drammenselva,1995-06-26 00:00:00,,,,280.0,0.5,,,1.1,,3.7,,460.0,,,6.0,2.1,,
40352,DRA1,Drammenselva,1995-06-28 00:00:00,,,,255.0,2.0,,,2.6,,3.8,,445.0,,,6.0,2.1,,
40352,DRA1,Drammenselva,1995-06-30 00:00:00,,,,240.0,1.0,,,2.5,,3.6,,415.0,,,6.0,2.0,,
40352,DRA1,Drammenselva,1995-07-05 00:00:00,,,,225.0,1.0,,,,,3.7,,425.0,,,6.0,3.4,,
40352,DRA1,Drammenselva,1995-07-13 00:00:00,,,9.0,230.0,1.0,,,2.4,,4.3,,425.0,,,7.0,1.55,,
40352,DRA1,Drammenselva,1995-07-21 00:00:00,,,,225.0,1.0,,,,,4.2,,415.0,,,5.0,1.53,,
40352,DRA1,Drammenselva,1995-07-27 00:00:00,,,,215.0,0.5,,,,,3.6,,365.0,,,5.0,1.04,,
40352,DRA1,Drammenselva,1995-08-02 00:00:00,,,,215.0,0.5,,,,,3.6,,375.0,,,5.0,1.53,,
40352,DRA1,Drammenselva,1995-08-09 00:00:00,,,,175.0,0.5,,,,,3.2,,360.0,,,5.0,1.36,,
40352,DRA1,Drammenselva,1995-08-16 00:00:00,,,24.0,200.0,0.5,,,2.1,,3.7,,415.0,,,6.0,1.47,,
40352,DRA1,Drammenselva,1995-08-23 00:00:00,,,,139.0,1.0,,,,,3.2,,290.0,,,6.0,1.53,,
40352,DRA1,Drammenselva,1995-08-31 00:00:00,,,,185.0,0.5,,,,,3.5,,395.0,,,4.0,1.2,,
40352,DRA1,Drammenselva,1995-09-19 00:00:00,,,19.0,240.0,1.0,,,2.3,,3.6,,425.0,,,5.0,1.96,,
40352,DRA1,Drammenselva,1995-10-10 00:00:00,,,23.0,255.0,1.0,,,2.5,,2.9,,400.0,,,6.0,1.85,,
40352,DRA1,Drammenselva,1995-11-15 00:00:00,,,22.0,255.0,1.0,,,2.5,,3.4,,410.0,,,4.0,1.03,,
40352,DRA1,Drammenselva,1995-12-11 00:00:00,,,17.0,260.0,1.0,,,2.3,,,,420.0,,,3.0,0.79,,
40352,DRA1,Drammenselva,1996-01-15 00:00:00,,,24.0,240.0,1.0,,,2.1,,,,395.0,,,4.0,1.2,,
40352,DRA1,Drammenselva,1996-02-13 00:00:00,,,24.0,240.0,1.0,,,2.1,,,,365.0,,,4.0,1.13,,
40352,DRA1,Drammenselva,1996-03-15 00:00:00,,,21.0,260.0,1.0,,,2.2,,,,385.0,,,3.0,0.93,,
40352,DRA1,Drammenselva,1996-04-14 00:00:00,,,24.0,375.0,6.0,,,2.2,,,,570.0,,,15.0,6.76,,
40352,DRA1,Drammenselva,1996-05-14 00:00:00,,,15.0,315.0,2.0,,,2.3,,4.2,,475.0,,,7.0,3.04,,
40352,DRA1,Drammenselva,1996-05-20 00:00:00,,,12.0,355.0,3.0,,,2.4,,3.6,,520.0,,,7.0,3.12,,
40352,DRA1,Drammenselva,1996-05-22 00:00:00,,,15.0,350.0,2.0,,,2.5,,3.6,,520.0,,,6.0,1.69,,
40352,DRA1,Drammenselva,1996-05-24 00:00:00,,,12.0,290.0,1.0,,,,,3.2,,445.0,,,6.0,1.86,,
40352,DRA1,Drammenselva,1996-05-26 00:00:00,,,11.0,265.0,1.0,,,,,3.1,,410.0,,,6.0,1.67,,
40352,DRA1,Drammenselva,1996-05-28 00:00:00,,,11.0,240.0,1.0,,,2.2,,3.2,,385.0,,,5.0,1.51,,
40352,DRA1,Drammenselva,1996-05-30 00:00:00,,,11.0,230.0,1.0,,,,,3.4,,355.0,,,5.0,1.5,,
40352,DRA1,Drammenselva,1996-06-01 00:00:00,,,9.0,260.0,2.0,,,2.8,,3.0,,430.0,,,5.0,2.0,,
40352,DRA1,Drammenselva,1996-06-03 00:00:00,,,12.0,260.0,2.0,,,2.2,,3.3,,430.0,,,5.0,2.45,,
40352,DRA1,Drammenselva,1996-06-05 00:00:00,,,12.0,225.0,1.0,,,,,3.5,,250.0,,,6.0,2.4,,
40352,DRA1,Drammenselva,1996-06-07 00:00:00,,,13.0,250.0,1.0,,,,,2.9,,445.0,,,4.0,1.12,,
40352,DRA1,Drammenselva,1996-06-09 00:00:00,,,13.0,245.0,1.0,,,,,3.5,,425.0,,,5.0,1.2,,
40352,DRA1,Drammenselva,1996-06-11 00:00:00,,,13.0,230.0,1.0,,,1.9,,3.1,,380.0,,,5.0,2.22,,
40352,DRA1,Drammenselva,1996-06-13 00:00:00,,,3.0,235.0,,,,,,3.1,,395.0,,,6.0,1.8,,
40352,DRA1,Drammenselva,1996-06-15 00:00:00,,,7.0,235.0,1.0,,,,,3.3,,390.0,,,5.0,2.0,,
40352,DRA1,Drammenselva,1996-06-17 00:00:00,,,13.0,230.0,1.0,,,1.8,,3.4,,390.0,,,5.0,1.79,,
40352,DRA1,Drammenselva,1996-06-21 00:00:00,,,11.0,220.0,1.0,,,,,3.8,,380.0,,,6.0,2.4,,
40352,DRA1,Drammenselva,1996-06-29 00:00:00,,,11.0,230.0,2.0,,,1.9,,3.7,,430.0,,,7.0,2.23,,
40352,DRA1,Drammenselva,1996-07-06 00:00:00,,,12.0,245.0,2.0,,,2.0,,5.5,,420.0,,,7.0,4.61,,
40352,DRA1,Drammenselva,1996-07-22 00:00:00,,,12.0,230.0,3.0,,,2.0,,3.6,,415.0,,,6.0,1.47,,
40352,DRA1,Drammenselva,1996-08-13 00:00:00,,,29.0,225.0,1.0,,,1.7,,,,455.0,,,6.0,1.78,,
40352,DRA1,Drammenselva,1996-09-16 00:00:00,,,27.0,235.0,1.0,,,2.0,,,,445.0,,,4.0,1.35,,
40352,DRA1,Drammenselva,1996-10-17 00:00:00,,,33.0,275.0,2.0,,,2.2,,,,460.0,,,5.0,1.02,,
40352,DRA1,Drammenselva,1996-11-18 00:00:00,,,21.0,630.0,3.0,,,2.7,,,,830.0,,,8.0,3.36,,
40352,DRA1,Drammenselva,1996-12-13 00:00:00,,,16.0,365.0,2.0,,,2.4,,,,510.0,,,4.0,0.97,,
40352,DRA1,Drammenselva,1997-01-15 00:00:00,,,21.0,280.0,1.0,,,2.1,,,,420.0,,,3.0,0.87,,
40352,DRA1,Drammenselva,1997-02-13 00:00:00,,,24.0,335.0,1.0,,,2.5,,,,470.0,,,4.0,0.95,,
40352,DRA1,Drammenselva,1997-03-14 00:00:00,,,18.0,425.0,2.0,,,2.6,,,,570.0,,,6.0,2.3,,
40352,DRA1,Drammenselva,1997-04-15 00:00:00,,,14.0,290.0,2.0,,,2.2,,,,435.0,,,5.0,1.87,,
40352,DRA1,Drammenselva,1997-05-13 00:00:00,,,18.0,300.0,2.0,,,2.6,,,,475.0,,,6.0,2.68,,
40352,DRA1,Drammenselva,1997-06-17 00:00:00,,,12.0,175.0,0.9,,,2.1,,3.5,,355.0,,,5.0,1.76,,
40352,DRA1,Drammenselva,1997-07-14 00:00:00,,,14.0,220.0,2.0,,,2.2,,,,415.0,,,6.0,1.73,,
40352,DRA1,Drammenselva,1997-08-14 00:00:00,,,10.0,175.0,0.9,,,2.0,,,,360.0,,,4.0,1.65,,
40352,DRA1,Drammenselva,1997-09-14 00:00:00,,,18.0,190.0,1.0,,,2.4,,,,380.0,,,4.0,1.22,,
40352,DRA1,Drammenselva,1997-10-14 00:00:00,,,20.0,250.0,1.0,,,2.2,,,,420.0,,,4.0,1.26,,
40352,DRA1,Drammenselva,1997-11-15 00:00:00,,,14.0,440.0,1.0,,,2.9,,,,600.0,,,5.0,2.02,,
40352,DRA1,Drammenselva,1997-12-15 00:00:00,,,15.0,405.0,5.0,,,3.0,,,,550.0,,,5.0,1.4,,
40352,DRA1,Drammenselva,1998-01-16 00:00:00,,,12.0,245.0,0.8,,,2.9,,,,335.0,,,2.0,1.8,,
40352,DRA1,Drammenselva,1998-02-15 00:00:00,,,13.0,295.0,0.8,,,2.4,,,,445.0,,,4.0,1.13,,
40352,DRA1,Drammenselva,1998-03-15 00:00:00,,,14.0,285.0,1.0,,,2.3,,,,415.0,,,4.0,1.45,,
40352,DRA1,Drammenselva,1998-04-15 00:00:00,,,16.0,355.0,1.0,,,2.6,,,,490.0,,,5.0,1.65,,
40352,DRA1,Drammenselva,1998-05-16 00:00:00,,,8.0,245.0,2.0,,,2.4,,,,390.0,,,5.0,1.97,,
40352,DRA1,Drammenselva,1998-06-16 00:00:00,,,16.0,235.0,1.0,,,2.3,,,,395.0,,,4.0,1.81,,
40352,DRA1,Drammenselva,1998-07-15 00:00:00,,,16.0,230.0,1.0,,,2.3,,3.4,,425.0,,,5.0,1.57,,
40352,DRA1,Drammenselva,1998-08-16 00:00:00,,,18.0,215.0,0.9,,,2.1,,,,415.0,,,4.0,0.98,,
40352,DRA1,Drammenselva,1998-09-15 00:00:00,,,22.0,260.0,3.0,,,2.7,,,,500.0,,,9.0,3.04,,
40352,DRA1,Drammenselva,1998-10-14 00:00:00,,,24.0,215.0,0.9,,,2.4,,,,420.0,,,4.0,0.78,,
40352,DRA1,Drammenselva,1998-11-15 00:00:00,,,20.0,305.0,1.0,,,2.8,,,,510.0,,,4.0,1.21,,
40352,DRA1,Drammenselva,1998-12-15 00:00:00,,,14.0,290.0,0.7,,,2.6,,,,425.0,,,3.0,0.67,,
40352,DRA1,Drammenselva,1999-02-09 00:00:00,,,15.0,408.0,1.8,,,2.5672266336,,2.33,,476.0,,,,0.5,,
40352,DRA1,Drammenselva,1999-02-23 00:00:00,,,23.0,289.0,0.47,,,2.3532910808,,2.27,,353.0,,,,0.5,,
40352,DRA1,Drammenselva,1999-03-16 00:00:00,,,31.0,273.0,0.47,,,2.139355528,,2.28,,393.0,,,,0.5,,
40352,DRA1,Drammenselva,1999-04-29 00:00:00,,,12.0,293.0,3.2,,,2.5672266336,,3.61,,421.0,,,,3.2,,
40352,DRA1,Drammenselva,1999-05-20 00:00:00,,,24.0,237.0,0.97,,,2.5672266336,,3.44,,403.0,,,,0.8,,
40352,DRA1,Drammenselva,1999-05-25 00:00:00,,,5.0,217.0,5.3,,,2.5672266336,,2.9,,367.0,,,,2.4,,
40352,DRA1,Drammenselva,1999-06-01 00:00:00,,,6.0,208.0,4.4,,,2.3532910808,,2.96,,356.0,,,,1.9,,
40352,DRA1,Drammenselva,1999-06-09 00:00:00,,,7.0,213.0,1.9,,,2.7811621864,,3.31,,365.0,,,,3.67,,
40352,DRA1,Drammenselva,1999-06-14 00:00:00,,,9.0,326.0,0.5,,,2.9950977392,,4.13,,491.0,,,,4.62,,
40352,DRA1,Drammenselva,1999-06-22 00:00:00,,,4.0,224.0,1.8,,,2.3532910808,,3.18,,374.0,,,,1.73,,
